,Pre-shutdown,Post-shutdown,% change
Hispanic Low,46.674939117851345,18.967954757705904,-0.5936158650402739
Hispanic High,53.60900514177499,39.05588681829753,-0.2714677932371645
Asian Low,54.120197298421644,39.99931450429741,-0.26091706052476005
Asian High,46.268330611132825,18.5880243560844,-0.5982559969083506
Black Low,48.745544552710854,29.248367295930382,-0.39997865314023223
Black High,54.001733611674645,38.383723169129446,-0.2892131307275057
