block_group,tract,county,state,area_block_group,medincome_block_group,race_total_block_group,race_white_block_group,race_black_block_group,race_asian_block_group,hisp_total_block_group,hisp_yes_block_group,hisp_yes_black_block_group,hisp_yes_white_block_group,hisp_yes_asian_block_group,hisp_no_black_block_group,hisp_no_white_block_group,hisp_no_asian_block_group,grip4_block_group_dens_m_km2
"060759804011",Census Tract 9804.01,San Francisco County,California,861910.151474117,,0,0,0,0,0,0,0,0,0,0,0,0,0
"060590627021",Census Tract 627.02,Orange County,California,507062.355372969,,1078,856,0,0,1078,222,0,0,0,0,856,0,5182.04673026379
"060375766021",Census Tract 5766.02,Los Angeles County,California,394290.403156993,93827,1609,1228,200,166,1609,387,0,326,0,200,817,120,2027.88770353699
"060750615006",Census Tract 615,San Francisco County,California,439448.138182968,214951,3429,1975,56,1400,3429,174,0,114,0,56,1837,1316,3286.07564808172
"060490003002",Census Tract 3,Modoc County,California,2088766175.68856,65353,849,799,21,18,849,147,0,129,0,3,652,0,1.53999553306444
"060590421081",Census Tract 421.08,Orange County,California,341623.107109371,80893,1065,861,0,33,1065,391,0,187,0,0,641,0,2561.28517812744
"060371347203",Census Tract 1347.20,Los Angeles County,California,215977.127949017,60435,1244,432,71,290,1244,544,0,84,0,71,339,271,783.523425002932
"060230112003",Census Tract 112,Humboldt County,California,909532363.93819,52750,1521,1408,0,38,1521,396,0,244,0,0,980,20,42.3497175696015
"060670065004",Census Tract 65,Sacramento County,California,484094.062901157,40529,2412,868,667,445,2412,767,5,525,0,631,235,386,2744.76402757519
"060855043142",Census Tract 5043.14,Santa Clara County,California,483181.438658027,125750,1381,348,33,961,1381,229,0,167,0,33,181,929,1745.94635074458
"060371254023",Census Tract 1254.02,Los Angeles County,California,151010.053579314,64079,2252,1679,128,382,2252,367,0,163,0,105,1386,265,5312.22538502681
"060590998032",Census Tract 998.03,Orange County,California,326105.407417104,40625,1301,230,0,1008,1301,62,0,38,0,0,192,1008,4191.64275600442
"060750264011",Census Tract 264.01,San Francisco County,California,174053.254762013,76211,1886,27,312,1458,1886,92,0,0,0,280,27,1458,2494.5285039054
"060855135001",Census Tract 5135,Santa Clara County,California,1538473614.54455,115833,1278,1027,49,226,1278,464,0,379,50,13,561,129,42.8125511360539
"060375338033",Census Tract 5338.03,Los Angeles County,California,118535.245449187,30625,1198,866,80,0,1198,893,0,590,0,29,274,0,7893.79450593905
"060372122042",Census Tract 2122.04,Los Angeles County,California,60311.4922534039,27893,1545,384,103,192,1545,1273,0,336,0,69,14,167,0
"060372171005",Census Tract 2171,Los Angeles County,California,168181.376004866,85753,1056,514,509,79,1056,159,0,98,0,463,309,79,1775.69786723132
"061070026021",Census Tract 26.02,Tulare County,California,663577.95089531,,1066,702,0,87,1066,956,0,679,0,0,23,87,3073.83097398865
"060372094031",Census Tract 2094.03,Los Angeles County,California,70817.6442922785,25208,1830,644,125,609,1830,963,0,511,0,125,133,609,0
"060375327001",Census Tract 5327,Los Angeles County,California,253445.306590747,44091,1505,781,53,0,1505,1435,0,748,0,53,17,0,1541.26258003589
"060374319001",Census Tract 4319,Los Angeles County,California,326070.514418338,39841,1689,273,78,1010,1689,440,0,104,0,78,161,1002,722.099859004368
"060372117032",Census Tract 2117.03,Los Angeles County,California,92145.5647350138,56705,1892,584,210,1022,1892,211,0,127,0,210,449,929,0
"060014237003",Census Tract 4237,Alameda County,California,99076.6321660623,87708,1313,904,111,416,1313,66,0,38,0,40,722,295,4065.3156249317
"060170314023",Census Tract 314.02,El Dorado County,California,481857032.423345,51136,1596,1536,0,0,1596,182,0,156,0,0,1310,0,73.3915966146048
"060830027021",Census Tract 27.02,Santa Barbara County,California,316676.428383499,24613,1387,1123,0,19,1387,1225,0,961,0,0,143,0,1105.84101059822
"060376205014",Census Tract 6205.01,Los Angeles County,California,193257.781651091,180667,1058,939,147,176,1058,245,0,245,0,39,475,41,0
"060372318001",Census Tract 2318,Los Angeles County,California,145143.981049345,17266,963,626,48,0,963,920,0,573,0,0,0,0,5046.26796722819
"060372971101",Census Tract 2971.10,Los Angeles County,California,278599.644171973,43889,2199,1218,413,113,2199,1189,0,767,5,404,377,106,722.551708374667
"060190043032",Census Tract 43.03,Fresno County,California,944579.732839614,127782,1033,999,0,15,1033,84,0,84,0,0,857,15,5895.17988096241
"060290001014",Census Tract 1.01,Kern County,California,1120309.46686967,55833,1732,1732,0,376,1732,264,0,237,0,0,1092,0,4848.48826050181
"060375006001",Census Tract 5006,Los Angeles County,California,217910.545813716,45156,898,471,0,11,898,858,0,395,0,0,29,11,3731.70567661022
"060371882023",Census Tract 1882.02,Los Angeles County,California,152639.702535652,95074,689,472,0,167,689,62,0,10,0,0,402,137,808.02790276603
"060372220021",Census Tract 2220.02,Los Angeles County,California,167282.26508345,30427,1229,48,349,5,1229,901,6,39,0,319,4,0,0
"060730111002",Census Tract 111,San Diego County,California,306697.973548611,103026,1485,1412,0,60,1485,52,0,52,0,0,1335,38,0
"060372393102",Census Tract 2393.10,Los Angeles County,California,225852.696358283,40675,1821,889,208,0,1821,1645,130,790,0,78,93,0,0
"060372342001",Census Tract 2342,Los Angeles County,California,293199.164058008,52763,790,123,576,43,790,121,0,63,0,566,50,43,1310.67876319352
"060372723022",Census Tract 2723.02,Los Angeles County,California,204784.038976612,65221,1869,1151,124,171,1869,790,0,352,9,124,756,162,2935.63135648801
"060014311001",Census Tract 4311,Alameda County,California,563065.825577593,77411,1515,999,168,301,1515,484,0,313,0,125,551,239,3984.65315674445
"060375726003",Census Tract 5726,Los Angeles County,California,389920.537397491,51701,2066,753,125,300,2066,1648,0,652,0,100,37,271,3788.79924154611
"060830022061",Census Tract 22.06,Santa Barbara County,California,526287.507438291,69836,1660,1528,62,6,1660,1105,0,1041,0,62,487,6,5018.24077116455
"060372754001",Census Tract 2754,Los Angeles County,California,282194.342109018,74444,1202,849,206,156,1202,252,0,179,0,124,588,122,3167.13125690503
"060376021032",Census Tract 6021.03,Los Angeles County,California,162498.93429653,40521,1983,1246,447,313,1983,1225,0,869,0,402,92,191,0
"060371047013",Census Tract 1047.01,Los Angeles County,California,141387.481889271,46964,854,603,39,0,854,828,20,591,0,19,7,0,0
"060371278052",Census Tract 1278.05,Los Angeles County,California,243022.052323761,47227,1253,493,49,39,1253,891,49,184,0,0,309,39,4063.58113375688
"060372966004",Census Tract 2966,Los Angeles County,California,224202.837673679,35099,2105,1220,194,6,2105,1669,12,982,0,170,221,6,808.363814571242
"060670047022",Census Tract 47.02,Sacramento County,California,543958.349279065,47340,1984,1010,319,455,1984,953,0,636,0,203,245,449,7962.12261560742
"060376203014",Census Tract 6203.01,Los Angeles County,California,234011.63184905,148636,1098,1012,13,43,1098,17,0,17,0,0,971,43,0
"060375734024",Census Tract 5734.02,Los Angeles County,California,266106.105996575,75500,1532,763,135,633,1532,451,0,327,56,135,357,513,2115.98028344285
"060375336023",Census Tract 5336.02,Los Angeles County,California,134592.633860186,26250,903,805,0,38,903,802,0,742,0,0,63,38,0
"060371281012",Census Tract 1281.01,Los Angeles County,California,243065.373652678,42250,1277,681,25,37,1277,884,0,310,0,13,359,21,2047.83186347363
"060190017003",Census Tract 17,Fresno County,California,29561539.9121461,59559,3582,2343,43,629,3582,2257,0,1621,0,20,599,611,593.924045696824
"060855057004",Census Tract 5057,Santa Clara County,California,663464.261102586,63984,2992,1164,208,903,2992,1182,0,175,0,208,712,597,3944.76784130728
"060990036043",Census Tract 36.04,Stanislaus County,California,6494051.5812298,103799,2952,2409,88,235,2952,1327,0,904,0,0,1364,140,1042.74195143886
"060450102003",Census Tract 102,Mendocino County,California,423559492.438375,56010,369,369,4,0,369,15,0,11,0,0,345,0,180.977067983586
"060371242012",Census Tract 1242.01,Los Angeles County,California,324329.486391736,60369,1353,1116,2,97,1353,729,0,585,0,2,525,97,0
"060450112002",Census Tract 112,Mendocino County,California,198809074.485294,39318,800,753,47,0,800,393,0,363,0,17,330,0,94.2481942672584
"060290028132",Census Tract 28.13,Kern County,California,475984.313194101,36573,1054,516,162,344,1054,379,0,277,0,121,206,301,2905.52097928797
"060330005013",Census Tract 5.01,Lake County,California,364482647.397542,22857,381,153,106,0,381,202,59,0,0,0,153,0,0
"060770033061",Census Tract 33.06,San Joaquin County,California,654127.838443292,49761,3504,1972,480,1015,3504,1423,0,782,0,416,607,973,8395.02987402458
"060390005024",Census Tract 5.02,Madera County,California,912274.960499942,29774,2926,1493,69,54,2926,2285,0,1003,0,69,490,54,3590.20846565422
"060376510012",Census Tract 6510.01,Los Angeles County,California,325499.901004255,109676,1199,581,193,503,1199,289,0,69,39,58,274,361,3883.2707292241
"060290025005",Census Tract 25,Kern County,California,1146160.98017113,33302,1907,1402,425,7,1907,1096,0,935,0,337,316,7,4244.60506624834
"060750201003",Census Tract 201,San Francisco County,California,69098.9926684893,33361,1461,892,72,132,1461,976,0,370,0,17,353,33,5205.84288308575
"060376026005",Census Tract 6026,Los Angeles County,California,169290.764293925,89000,687,50,589,69,687,0,0,0,0,568,29,69,330.958064647578
"060290013002",Census Tract 13,Kern County,California,334594.529369937,14957,929,521,136,0,929,589,0,304,0,136,204,0,569.44522474301
"060372039002",Census Tract 2039,Los Angeles County,California,152091.080718791,69250,985,569,25,0,985,934,0,533,0,25,26,0,1451.71098251914
"060670044012",Census Tract 44.01,Sacramento County,California,335359.597629159,27917,1195,478,418,143,1195,474,0,232,0,397,192,132,1847.60902063076
"060690007023",Census Tract 7.02,San Benito County,California,354370.174355437,35647,1216,1051,8,66,1216,862,0,625,0,0,333,15,3290.65980615927
"060710100111",Census Tract 100.11,San Bernardino County,California,1957137.88146825,41935,1580,1326,84,31,1580,1061,0,865,0,18,419,16,414.459624103201
"060710008081",Census Tract 8.08,San Bernardino County,California,844487.747467427,98906,1471,1051,22,119,1471,682,0,350,0,0,670,110,2905.27239260429
"060610213093",Census Tract 213.09,Placer County,California,5234027.41184799,98015,4627,3905,44,655,4627,792,0,541,0,44,3126,470,1727.09968353075
"060376017001",Census Tract 6017,Los Angeles County,California,117406.357162426,40898,308,126,0,0,308,308,0,126,0,0,0,0,3748.24872295173
"060816109003",Census Tract 6109,San Mateo County,California,175376.154306962,,838,414,49,184,838,353,28,180,0,21,203,184,1217.47181575587
"060372946201",Census Tract 2946.20,Los Angeles County,California,397551.904012486,41948,2269,1586,103,9,2269,2184,0,1414,0,10,66,9,8571.63330734882
"060377020024",Census Tract 7020.02,Los Angeles County,California,166373.636405506,67972,1625,1189,256,68,1625,395,0,268,0,241,921,53,637.728138479889
"060376507011",Census Tract 6507.01,Los Angeles County,California,204800.387331136,107250,738,491,0,263,738,89,0,83,0,0,386,246,3118.27185854196
"060372426003",Census Tract 2426,Los Angeles County,California,101930.080340142,13431,1216,462,478,0,1216,760,22,462,0,456,0,0,0
"060670075014",Census Tract 75.01,Sacramento County,California,637996.748774001,31929,1646,1279,250,30,1646,343,0,220,0,203,1012,30,728.875696319217
"060375015043",Census Tract 5015.04,Los Angeles County,California,176313.927995831,32321,1088,194,0,16,1088,991,0,127,0,0,67,16,0
"060372721005",Census Tract 2721,Los Angeles County,California,256277.381896229,76583,750,593,11,90,750,279,0,205,0,11,370,72,4474.63889204171
"060372282102",Census Tract 2282.10,Los Angeles County,California,203021.266959981,32857,2209,1292,301,11,2209,1957,65,1251,4,236,0,0,3210.91743789785
"060372170023",Census Tract 2170.02,Los Angeles County,California,426844.788557424,74087,1578,1348,94,99,1578,112,0,72,0,94,1267,90,2358.71996385964
"060014086002",Census Tract 4086,Alameda County,California,235931.935961222,49435,2152,677,1007,73,2152,1086,17,406,0,788,59,52,2880.8098468092
"060376503004",Census Tract 6503,Los Angeles County,California,248024.452042282,51328,2315,654,226,1201,2315,609,26,298,0,125,268,1188,1217.93904779972
"060750478012",Census Tract 478.01,San Francisco County,California,117412.476846204,107614,1350,578,40,786,1350,43,0,36,0,13,481,752,0
"060670096382",Census Tract 96.38,Sacramento County,California,30093684.376402,75625,1345,906,251,105,1345,543,0,498,0,251,402,99,0
"060590994113",Census Tract 994.11,Orange County,California,224013.200590521,67404,2013,836,198,102,2013,1049,18,195,13,112,561,89,4379.87592448339
"060990011003",Census Tract 11,Stanislaus County,California,405816.430007998,32150,684,647,19,43,684,63,0,39,24,13,556,0,5325.19070176454
"060750167004",Census Tract 167,San Francisco County,California,93241.3331529977,136464,1461,1199,193,131,1461,202,0,190,0,131,924,131,2308.10607484763
"060014082003",Census Tract 4082,Alameda County,California,169548.944432023,38958,968,188,641,73,968,123,18,17,0,565,125,43,3873.74224775614
"060855062033",Census Tract 5062.03,Santa Clara County,California,232523.346057903,117233,2412,201,83,2112,2412,66,0,50,0,83,151,2112,0
"060375743007",Census Tract 5743,Los Angeles County,California,351375.943050865,106318,1151,1100,0,76,1151,41,0,41,0,0,1034,51,4795.18653738137
"060190004001",Census Tract 4,Fresno County,California,402295.553724675,36971,1951,884,9,287,1951,1580,0,791,0,0,84,287,0
"060730170322",Census Tract 170.32,San Diego County,California,969524.483009524,120078,3329,2135,151,1149,3329,259,0,103,0,151,1770,843,7884.91353857191
"060371271042",Census Tract 1271.04,Los Angeles County,California,217062.250786736,48944,1938,749,144,123,1938,1173,8,190,0,125,506,81,2884.29536661144
"060855011023",Census Tract 5011.02,Santa Clara County,California,319295.55924596,108423,1714,1106,134,189,1714,897,0,385,16,34,488,101,0
"060650451191",Census Tract 451.19,Riverside County,California,1367054.44591792,70192,1720,1317,71,283,1720,329,12,164,0,38,1084,240,6975.57490874997
"060375421033",Census Tract 5421.03,Los Angeles County,California,186079.852462145,51250,1545,723,247,5,1545,1291,6,715,0,241,8,5,1537.92528591346
"060670096323",Census Tract 96.32,Sacramento County,California,714377.06221447,100243,2084,1124,187,903,2084,324,0,159,31,97,635,719,6788.54285038149
"060014070003",Census Tract 4070,Alameda County,California,152205.790577495,54141,786,459,179,12,786,387,0,117,0,179,208,12,4020.16027968559
"060730202072",Census Tract 202.07,San Diego County,California,500506.889438488,40333,2381,1551,28,69,2381,1995,0,1213,0,28,286,48,3756.26715725779
"060372140001",Census Tract 2140,Los Angeles County,California,191749.423794755,100625,859,829,0,20,859,49,0,39,0,0,790,20,0
"060376041003",Census Tract 6041,Los Angeles County,California,244529.048552728,63207,1321,986,102,0,1321,879,15,611,0,54,341,0,1561.99877746485
"060375302041",Census Tract 5302.04,Los Angeles County,California,344784.862033541,57969,1670,1271,0,193,1670,1436,0,1208,0,0,41,193,8724.52689361472
"060375040022",Census Tract 5040.02,Los Angeles County,California,241879.321545927,95259,1191,724,123,294,1191,287,0,142,9,115,516,232,6085.64442986154
"060371047012",Census Tract 1047.01,Los Angeles County,California,165004.468077074,24028,1713,1104,121,0,1713,1554,0,1066,0,121,38,0,1395.61372295633
"060014512023",Census Tract 4512.02,Alameda County,California,418827.402231882,121827,967,794,43,102,967,270,0,220,0,43,552,80,4251.34406720022
"060014251032",Census Tract 4251.03,Alameda County,California,259552.810178692,162941,1079,720,109,318,1079,21,0,21,0,98,615,235,2808.81823192848
"060290044011",Census Tract 44.01,Kern County,California,972772.478986685,40156,2437,1848,212,0,2437,2000,0,1570,0,140,225,0,2815.6938486698
"060375005001",Census Tract 5005,Los Angeles County,California,763694.850036849,50592,2849,1403,36,210,2849,2475,25,1219,0,11,153,210,5500.53200203475
"060371348001",Census Tract 1348,Los Angeles County,California,521465.933062634,82045,1801,1329,24,209,1801,799,0,496,0,10,769,186,3968.39290893333
"060374309021",Census Tract 4309.02,Los Angeles County,California,789178.978737508,66103,2435,1512,99,620,2435,922,10,747,0,61,733,620,3884.33876725221
"060650410021",Census Tract 410.02,Riverside County,California,395572.839732584,57135,1846,849,98,67,1846,1405,7,559,0,91,262,67,4404.29558447996
"060971526003",Census Tract 1526,Sonoma County,California,530837.397420314,98906,1188,1167,9,12,1188,109,0,109,0,9,1031,12,6017.13135304187
"060590111023",Census Tract 111.02,Orange County,California,449109.853425365,66714,2259,1208,241,336,2259,1222,22,653,0,126,483,326,6897.15368443975
"060375744002",Census Tract 5744,Los Angeles County,California,959598.089576968,112250,637,473,73,134,637,57,0,57,0,50,373,114,1729.13439724873
"060374800124",Census Tract 4800.12,Los Angeles County,California,268348.872109185,132344,851,242,32,544,851,115,0,52,0,11,181,544,5065.84207177572
"060133310002",Census Tract 3310,Contra Costa County,California,746808.295594499,80060,1455,1044,50,193,1455,251,0,4,0,50,950,114,4291.93217678711
"060014351043",Census Tract 4351.04,Alameda County,California,180785.456315933,116667,1009,348,120,433,1009,129,0,96,0,107,203,388,5638.96216723044
"060372162001",Census Tract 2162,Los Angeles County,California,163201.737515024,,625,277,100,116,625,230,0,50,0,74,190,105,0
"060375737004",Census Tract 5737,Los Angeles County,California,245545.141869688,128750,1018,815,89,156,1018,199,0,178,0,32,502,75,3986.2280328828
"060816120004",Census Tract 6120,San Mateo County,California,408348.319836836,58427,1509,84,207,18,1509,617,38,64,0,135,20,18,2238.67360837326
"060710099081",Census Tract 99.08,San Bernardino County,California,1264591.53525859,41369,2546,1835,512,84,2546,1422,0,1169,11,493,546,43,3894.10077969287
"060670059044",Census Tract 59.04,Sacramento County,California,973621.114934809,50536,1969,1515,263,112,1969,423,0,296,0,201,1151,96,4523.11874816001
"060730100132",Census Tract 100.13,San Diego County,California,387927.015259429,36972,3340,2973,23,54,3340,3279,0,2890,48,23,32,6,0
"060670067012",Census Tract 67.01,Sacramento County,California,779656.428976593,62411,2422,1273,278,459,2422,1091,0,584,36,242,618,384,6515.82899286285
"060372722012",Census Tract 2722.01,Los Angeles County,California,73232.7786724972,54932,1286,801,17,172,1286,645,0,280,0,9,453,123,1354.25235523584
"060591100144",Census Tract 1100.14,Orange County,California,165379.67243125,61600,1323,740,175,215,1323,383,0,141,0,175,485,171,0
"060372654101",Census Tract 2654.10,Los Angeles County,California,164099.420208245,250001,635,519,43,64,635,7,0,3,0,43,509,57,8607.10269387488
"060372145023",Census Tract 2145.02,Los Angeles County,California,58710.965962183,55947,1655,698,97,698,1655,102,0,40,0,39,640,698,2384.71967214424
"060372041102",Census Tract 2041.10,Los Angeles County,California,86087.3195661461,28816,1057,579,0,7,1057,1053,0,555,0,0,4,0,0
"060374056005",Census Tract 4056,Los Angeles County,California,496338.569373224,,1022,470,66,479,1022,261,0,213,0,66,215,473,4220.54044678704
"060373023011",Census Tract 3023.01,Los Angeles County,California,309555.442197278,45350,1713,1085,26,360,1713,508,0,258,0,18,819,360,4487.74417891614
"060590869014",Census Tract 869.01,Orange County,California,93982.2126429424,,854,587,0,0,854,764,0,497,0,0,90,0,1471.04543216656
"060375345023",Census Tract 5345.02,Los Angeles County,California,153390.721426909,53603,2043,1347,0,0,2043,2032,0,1305,0,0,11,0,0
"060855032131",Census Tract 5032.13,Santa Clara County,California,283962.974838501,36765,1594,351,0,877,1594,672,0,297,0,0,46,869,5505.45989025242
"060374052021",Census Tract 4052.02,Los Angeles County,California,280290.656258185,68450,1500,726,15,135,1500,1091,0,695,0,15,31,135,2626.59555208077
"060650432914",Census Tract 432.91,Riverside County,California,276136.713004911,57424,980,589,0,0,980,410,0,75,0,0,499,0,3504.83772302052
"060371816002",Census Tract 1816,Los Angeles County,California,342012.601044126,87768,1856,782,36,684,1856,742,6,312,0,3,386,642,824.679321144575
"060730073022",Census Tract 73.02,San Diego County,California,274721.041588977,125000,817,797,0,30,817,56,0,43,0,0,731,7,0
"060375519006",Census Tract 5519,Los Angeles County,California,211672.497687931,85865,813,330,120,131,813,409,0,188,0,120,142,131,5003.87415585437
"060371064053",Census Tract 1064.05,Los Angeles County,California,106350.01776876,39861,1095,895,27,24,1095,978,0,812,0,27,35,7,0
"060375427005",Census Tract 5427,Los Angeles County,California,145195.298243151,71364,828,380,71,0,828,669,0,312,0,71,68,0,477.759247326145
"060730031131",Census Tract 31.13,San Diego County,California,941090.332144028,74864,2186,540,330,1123,2186,566,0,321,0,319,167,1089,5419.80355482223
"060855016005",Census Tract 5016,Santa Clara County,California,357266.204070362,73682,1796,832,0,357,1796,981,0,250,13,0,391,212,5119.9337934349
"060372112011",Census Tract 2112.01,Los Angeles County,California,34469.5759119257,40096,801,344,76,64,801,566,0,252,0,64,76,60,0
"060952519024",Census Tract 2519.02,Solano County,California,633055.375919499,73525,2675,805,1159,525,2675,1210,181,453,0,763,108,493,9093.05281334466
"060372696013",Census Tract 2696.01,Los Angeles County,California,175934.252925956,48971,1396,654,503,131,1396,603,0,353,0,416,246,99,0
"060590423203",Census Tract 423.20,Orange County,California,298336.650348171,82857,1442,1216,19,92,1442,288,0,178,0,19,982,60,9037.48623419861
"060376200021",Census Tract 6200.02,Los Angeles County,California,304375.644834471,85238,1164,852,60,176,1164,308,0,149,0,30,620,121,267.96987917401
"060371065203",Census Tract 1065.20,Los Angeles County,California,356322.674976953,61399,1491,1241,77,0,1491,1389,0,1097,0,0,49,0,1702.84575991217
"060650507004",Census Tract 507,Riverside County,California,1706128.04421402,80120,1913,1268,365,64,1913,502,21,367,17,344,854,0,3803.13917044292
"060373108004",Census Tract 3108,Los Angeles County,California,328593.614630701,64342,1081,843,42,208,1081,171,0,135,0,9,660,208,0
"060376016002",Census Tract 6016,Los Angeles County,California,188119.622959007,54375,2270,736,91,0,2270,2270,91,720,0,0,0,0,1016.43107553068
"060375710005",Census Tract 5710,Los Angeles County,California,217912.129850011,91136,715,671,0,21,715,154,0,143,0,0,512,21,0
"060372701001",Census Tract 2701,Los Angeles County,California,149085.596104611,61014,1779,924,133,782,1779,253,0,124,0,55,701,557,1716.31992026069
"060371957202",Census Tract 1957.20,Los Angeles County,California,112771.281738845,70670,443,284,11,65,443,255,0,152,0,0,117,56,5686.2822896613
"060750228033",Census Tract 228.03,San Francisco County,California,72441.0388519691,114531,1314,975,4,200,1314,682,4,425,39,0,493,104,0
"060730170363",Census Tract 170.36,San Diego County,California,383309.16851816,144205,1307,1049,214,235,1307,53,0,32,0,84,793,131,9183.15530734372
"060590219232",Census Tract 219.23,Orange County,California,503570.267725334,119849,1624,1233,141,358,1624,262,0,262,0,111,771,280,8902.31338924059
"060730083062",Census Tract 83.06,San Diego County,California,496320.857830394,148864,1106,985,0,64,1106,129,0,114,0,0,853,46,2059.7441332238
"060379107052",Census Tract 9107.05,Los Angeles County,California,3060812.71449023,79866,6348,2312,377,251,6348,5196,0,1643,0,351,505,232,5546.12211986436
"060375759012",Census Tract 5759.01,Los Angeles County,California,78363.6468368709,60076,991,340,206,168,991,579,0,189,0,144,127,70,3398.53808954439
"060590320151",Census Tract 320.15,Orange County,California,660922.268598602,150592,2040,1631,9,361,2040,226,0,91,0,0,1428,279,9220.67357599601
"060591100124",Census Tract 1100.12,Orange County,California,1583447.20704409,110611,2064,1563,69,386,2064,491,0,200,0,35,1215,267,3982.05475991755
"060375034012",Census Tract 5034.01,Los Angeles County,California,604063.123874015,74107,1579,944,41,104,1579,1092,0,556,0,18,376,93,10398.131646637
"060790102012",Census Tract 102.01,San Luis Obispo County,California,4380580.62123484,96208,3687,3380,17,214,3687,741,0,565,0,17,2662,125,7639.84028289742
"060450115004",Census Tract 115,Mendocino County,California,188139.501209294,36250,688,669,1,1,688,402,0,349,0,0,213,1,3859.11333255072
"060855043143",Census Tract 5043.14,Santa Clara County,California,298279.438428788,107305,1211,201,46,679,1211,444,0,98,0,38,76,626,1599.71031568895
"060375734011",Census Tract 5734.01,Los Angeles County,California,1045140.74723547,73750,1466,653,253,347,1466,514,17,291,0,221,351,336,1310.80287428031
"060590638034",Census Tract 638.03,Orange County,California,404890.965835971,92143,1469,978,0,95,1469,877,0,514,0,0,424,55,5437.05423953797
"060250114001",Census Tract 114,Imperial County,California,1933996.18666177,36929,1512,323,36,0,1512,1437,0,284,0,36,39,0,2842.01541288359
"060133790003",Census Tract 3790,Contra Costa County,California,416351.267931196,55938,1328,295,490,101,1328,759,0,111,0,357,44,0,7157.55282307002
"060373012052",Census Tract 3012.05,Los Angeles County,California,107648.166297524,84330,388,304,0,119,388,110,0,82,28,0,187,52,2287.54541818464
"060375354001",Census Tract 5354,Los Angeles County,California,394113.076237271,41750,2096,1219,68,49,2096,1966,0,1188,0,68,13,49,1787.04808325355
"060014506033",Census Tract 4506.03,Alameda County,California,562600.380425183,150956,1868,1050,1,740,1868,199,0,38,0,1,935,666,6046.3107889289
"060590871032",Census Tract 871.03,Orange County,California,652342.28400107,83833,2047,1149,0,682,2047,712,0,552,0,0,552,670,8323.42938783267
"060250118023",Census Tract 118.02,Imperial County,California,696132.073036989,70885,1822,1273,115,103,1822,1390,115,670,0,0,391,21,2312.52430764613
"060670096224",Census Tract 96.22,Sacramento County,California,395799.191915192,99808,895,474,54,289,895,122,0,0,0,54,430,245,6860.12535444914
"060371319003",Census Tract 1319,Los Angeles County,California,380721.180246441,105800,1337,872,73,81,1337,678,0,358,0,57,483,66,4422.77900188332
"060375544031",Census Tract 5544.03,Los Angeles County,California,484906.422789825,38288,2529,533,719,288,2529,1232,0,134,0,650,290,255,641.7980578074
"060530113031",Census Tract 113.03,Monterey County,California,616720662.096207,82933,3225,2380,31,18,3225,1638,0,867,0,31,1405,18,20.4712810701911
"060375436042",Census Tract 5436.04,Los Angeles County,California,1834532.91085872,101136,2207,1004,53,952,2207,1015,0,735,0,53,218,890,2073.79922371294
"060372946102",Census Tract 2946.10,Los Angeles County,California,372746.358799855,37500,3194,1307,46,243,3194,2878,0,1218,0,46,69,192,306.75507243515
"060590759012",Census Tract 759.01,Orange County,California,321969.37967011,93646,613,551,0,57,613,87,0,48,0,0,456,33,261.681764296766
"060591106071",Census Tract 1106.07,Orange County,California,397285.651127273,63500,827,439,40,388,827,220,0,201,0,19,219,326,5881.06097059413
"060133060033",Census Tract 3060.03,Contra Costa County,California,695494.037884905,54539,1765,852,235,290,1765,740,11,215,40,216,514,126,5896.19244417683
"060376024032",Census Tract 6024.03,Los Angeles County,California,195204.852975088,53321,2186,863,497,372,2186,1241,0,697,0,487,78,372,0
"060014076002",Census Tract 4076,Alameda County,California,185206.83695036,79288,1573,634,936,64,1573,265,0,200,0,864,344,28,1633.77925829963
"060375038014",Census Tract 5038.01,Los Angeles County,California,312714.938219047,94337,1197,720,80,320,1197,436,0,133,0,0,444,220,4512.1632670342
"060990039051",Census Tract 39.05,Stanislaus County,California,318177.213715785,83100,808,787,0,12,808,43,0,22,12,0,709,0,4884.58944548629
"060371061141",Census Tract 1061.14,Los Angeles County,California,700144.226160335,53199,4794,3667,263,158,4794,4032,7,3262,0,248,356,158,3889.60709427406
"060372741002",Census Tract 2741,Los Angeles County,California,247282.394934769,134167,1101,1064,10,97,1101,86,0,86,0,2,844,35,8654.00147701939
"060710008244",Census Tract 8.24,San Bernardino County,California,166295.615972095,36616,1193,811,153,22,1193,680,0,463,10,153,348,12,2183.8538670895
"060374326022",Census Tract 4326.02,Los Angeles County,California,319508.857525876,51397,1806,725,18,509,1806,1237,0,683,0,18,42,509,2732.92888677761
"060371064082",Census Tract 1064.08,Los Angeles County,California,52139.9741928612,49188,842,576,15,0,842,818,0,567,0,15,9,0,0
"060372721004",Census Tract 2721,Los Angeles County,California,209739.081352198,120870,759,730,0,10,759,213,0,153,0,0,536,10,0
"060379106031",Census Tract 9106.03,Los Angeles County,California,558682.939463597,53295,2109,1134,105,80,2109,1600,0,692,0,86,355,59,6493.07722649032
"060855084014",Census Tract 5084.01,Santa Clara County,California,388794.666462948,220268,989,687,5,308,989,240,0,141,0,5,509,183,4780.71784976798
"060710024015",Census Tract 24.01,San Bernardino County,California,649474.870767861,56442,2769,492,0,0,2769,2646,0,349,0,0,123,0,2606.85364778618
"060290031221",Census Tract 31.22,Kern County,California,683163.743194028,44948,2901,2375,249,0,2901,2612,0,2329,0,243,40,0,8440.0234545105
